0 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
1 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
2 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
3 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
4 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
5 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
6 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
7 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
8 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
9 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
10 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
11 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
12 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
13 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
14 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
15 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
16 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
17 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
18 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
19 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
20 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
21 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
22 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
23 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
24 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
25 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
26 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
27 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
28 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
29 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
30 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
31 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
32 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
33 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
34 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
35 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
36 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
37 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
38 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
39 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
40 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
41 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
42 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
43 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
44 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
45 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
46 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
47 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
48 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
49 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
50 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
51 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
52 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
53 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
54 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
55 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
56 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
57 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
58 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
59 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
60 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
61 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
62 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
63 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
64 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
65 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
66 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
67 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
68 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
69 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
70 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
71 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
72 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
73 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
74 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
75 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
76 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
77 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
78 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
79 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
80 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
81 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
82 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
83 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
84 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
85 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
86 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
87 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
88 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
89 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
90 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
91 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
92 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
93 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
94 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0000000000000e-03
